origen,destino,dia_semana,hora_dia,clima,es_hora_pico,es_fin_semana,mejor_ruta,num_estaciones,num_transbordos,tiempo_total,congestion_promedio,num_alternativas,num_estaciones_alternativas,calidad_ruta
Pepe Sierra,Portal Norte,0,20,Normal,0,0,Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,9,7,30.1,0.478,1,9,0.0
Toberin,Pepe Sierra,6,13,Lluvia,0,1,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra,8,6,24.67,0.15,1,8,0.0
Calle 72,Portal El Dorado,6,9,Lluvia,1,1,Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,10,8,49.17,0.4,1,10,0.0
Ricaurte,El Tiempo,5,11,Normal,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo,9,7,27.28,0.156,1,9,0.0
Heroes,Virrey,4,22,Lluvia fuerte,0,0,Heroes|Calle 85|Virrey,3,1,12.15,0.5,1,3,6.39
Calle 63,Calle 106,3,6,Lluvia,1,0,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,9,7,48.52,0.7,1,9,0.0
Ricaurte,Tercer Milenio,0,14,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio,4,2,14.16,0.4,1,4,5.09
Av. Rojas,El Tiempo,3,9,Normal,1,0,Av. Rojas|El Tiempo,2,0,5.72,0.6,1,2,7.91
Profamilia,Calle 45,1,19,Lluvia,1,0,Profamilia|Calle 26|Marly|Calle 45,4,2,20.75,0.65,1,4,4.01
Profamilia,Salitre El Greco,2,16,Lluvia,1,0,Profamilia|Calle 26|Salitre El Greco,3,1,15.6,0.7,1,3,5.62
Portal Norte,Calle 142,0,7,Lluvia fuerte,1,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142,5,3,30.03,0.66,1,5,2.02
El Tiempo,Calle 106,3,20,Normal,0,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,14,12,52.9,0.486,1,14,0.0
Toberin,Av. Rojas,2,9,Lluvia fuerte,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,23,21,167.9,0.674,1,23,0.0
Calle 100,Calle 76,0,13,Normal,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76,5,3,17.0,0.54,1,5,3.03
Calle 100,Comuneros,0,8,Lluvia,1,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,15,13,87.67,0.687,1,15,0.0
Portal Norte,Alcala,0,19,Lluvia fuerte,1,0,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala,6,4,35.88,0.633,1,6,0.31
Ricaurte,Virrey,4,7,Normal,1,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,16,14,77.22,0.675,1,16,0.0
Calle 76,Calle 45,3,17,Lluvia,1,0,Calle 76|Calle 72|Flores|Calle 63|Calle 45,5,3,22.31,0.66,1,5,2.4
Calle 72,Toberin,4,9,Lluvia fuerte,1,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,15,13,104.33,0.687,1,15,0.0
Profamilia,Comuneros,0,20,Normal,0,0,Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,4,2,11.6,0.4,1,4,5.22
Ricaurte,Santa Isabel,1,21,Normal,0,0,Ricaurte|Santa Isabel,2,0,4.8,0.5,1,2,8.26
Marly,Toberin,6,14,Normal,0,1,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,19,17,53.68,0.168,1,19,0.0
Marly,Calle 100,3,8,Lluvia fuerte,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,10,8,65.52,0.7,1,10,0.0
Marly,Toberin,1,13,Normal,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin,19,17,67.1,0.468,1,19,0.0
Calle 142,Av. Jimenez,2,20,Normal,0,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,19,17,72.0,0.489,1,19,0.0
Av. Rojas,Calle 76,3,14,Lluvia fuerte,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,10,8,54.15,0.48,1,10,0.0
Tercer Milenio,Marly,5,9,Normal,1,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly,5,3,19.76,0.4,1,5,3.31
Calle 45,Portal Norte,6,9,Lluvia,1,1,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,19,17,85.11,0.379,1,19,0.0
Pepe Sierra,Heroes,5,19,Normal,1,1,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,6,4,21.53,0.4,1,6,1.72
Prado,Heroes,3,14,Normal,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,8,6,28.8,0.525,1,8,0.0
Marly,El Tiempo,6,5,Lluvia,0,1,Marly|Calle 26|Salitre El Greco|El Tiempo,4,2,14.21,0.2,1,4,5.69
Cardio Infantil,Santa Isabel,6,21,Lluvia fuerte,0,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,24,22,107.88,0.158,1,24,0.0
Marly,Santa Isabel,4,16,Normal,1,0,Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,7,5,33.67,0.643,1,7,0.0
Calle 45,Portal El Dorado,2,8,Lluvia,1,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,7,5,44.3,0.7,1,7,0.0
Mazuren,Calle 63,1,13,Lluvia fuerte,0,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,15,13,79.95,0.473,1,15,0.0
Comuneros,Prado,5,16,Lluvia,1,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,19,17,89.11,0.389,1,19,0.0
Comuneros,Flores,2,18,Lluvia,1,0,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores,9,7,50.86,0.633,1,9,0.0
Heroes,Av. Rojas,1,20,Normal,0,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas,11,9,39.7,0.5,1,11,0.0
Pepe Sierra,Calle 63,6,21,Normal,0,1,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63,10,8,27.36,0.2,1,10,0.0
Comuneros,Calle 63,6,7,Normal,1,1,Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63,8,6,30.47,0.35,1,8,0.0
Prado,Heroes,5,6,Lluvia,1,1,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes,8,6,35.94,0.425,1,8,0.0
Calle 142,Calle 76,1,12,Lluvia,0,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76,11,9,47.28,0.482,1,11,0.0
Calle 45,Portal El Dorado,3,16,Lluvia fuerte,1,0,Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,7,5,55.38,0.7,1,7,0.0
Portal El Dorado,Heroes,4,20,Lluvia fuerte,0,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,12,10,69.9,0.517,1,12,0.0
Cardio Infantil,Calle 76,2,19,Lluvia,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76,13,11,72.85,0.669,1,13,0.0
Av. Jimenez,Prado,3,19,Lluvia,1,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,17,15,102.02,0.712,1,17,0.0
Calle 85,Calle 72,3,13,Lluvia,0,0,Calle 85|Heroes|Calle 76|Calle 72,4,2,13.56,0.6,1,4,4.52
Profamilia,Calle 72,5,18,Lluvia,1,1,Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,7,5,29.45,0.371,1,7,0.0
El Tiempo,Cardio Infantil,3,17,Lluvia,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,21,19,122.15,0.671,1,21,0.0
Calle 76,Portal El Dorado,6,13,Lluvia fuerte,0,1,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,11,9,51.24,0.2,1,11,0.0
Av. Jimenez,Calle 76,5,7,Normal,1,1,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,9,7,34.53,0.4,1,9,0.0
Calle 100,Alcala,2,21,Normal,0,0,Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,6,4,20.2,0.5,1,6,1.49
Marly,Heroes,3,13,Normal,0,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes,7,5,20.5,0.5,1,7,0.0
Av. Jimenez,Portal El Dorado,1,10,Lluvia,0,0,Av. Jimenez|Profamilia|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,7,5,35.88,0.529,1,7,0.0
Profamilia,Calle 45,6,9,Normal,1,1,Profamilia|Calle 26|Marly|Calle 45,4,2,13.83,0.35,1,4,5.26
Av. Jimenez,Calle 106,0,18,Lluvia fuerte,1,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,14,12,106.08,0.7,1,14,0.0
Av. Rojas,Profamilia,2,16,Normal,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia,5,3,23.01,0.66,1,5,2.37
Santa Isabel,Alcala,5,9,Lluvia fuerte,1,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,21,19,124.49,0.371,1,21,0.0
Av. Jimenez,Calle 85,2,14,Lluvia fuerte,0,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,11,9,61.95,0.518,1,11,0.0
Marly,Mazuren,5,9,Normal,1,1,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren,17,15,63.23,0.365,1,17,0.0
Virrey,El Tiempo,2,17,Normal,1,0,Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo,12,10,56.03,0.683,1,12,0.0
Pepe Sierra,Tercer Milenio,0,5,Lluvia,0,0,Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,16,14,72.6,0.487,1,16,0.0
Calle 63,Profamilia,4,21,Normal,0,0,Calle 63|Calle 45|Marly|Calle 26|Profamilia,5,3,17.7,0.46,1,5,3.24
Marly,Calle 76,2,6,Normal,1,0,Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,6,4,22.36,0.667,1,6,0.88
Av. Rojas,Calle 63,2,21,Normal,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63,7,5,26.2,0.471,1,7,0.0
Calle 63,Comuneros,6,22,Normal,0,1,Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,8,6,23.44,0.15,1,8,0.0
Cardio Infantil,Av. Jimenez,3,16,Normal,1,0,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,21,19,103.09,0.681,1,21,0.0
Calle 26,Pepe Sierra,6,14,Lluvia,0,1,Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,13,11,45.5,0.2,1,13,0.0
Mazuren,Tercer Milenio,4,6,Lluvia,1,0,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,21,19,124.18,0.671,1,21,0.0
Calle 142,Calle 106,4,7,Lluvia fuerte,1,0,Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106,6,4,35.88,0.633,1,6,0.31
Calle 100,Salitre El Greco,1,20,Lluvia,0,0,Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco,12,10,54.96,0.517,1,12,0.0
Alcala,Ricaurte,2,11,Lluvia fuerte,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,22,20,125.4,0.482,1,22,0.0
Calle 76,Santa Isabel,3,6,Normal,1,0,Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,12,10,56.16,0.65,1,12,0.0
Ricaurte,Calle 72,2,19,Lluvia fuerte,1,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72,12,10,86.58,0.667,1,12,0.0
Toberin,Calle 85,1,13,Normal,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85,12,10,42.0,0.45,1,12,0.0
Toberin,Ricaurte,0,22,Normal,0,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,26,24,97.2,0.469,1,26,0.0
Calle 63,Ricaurte,3,16,Normal,1,0,Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel|Ricaurte,10,8,48.49,0.66,1,10,0.0
Calle 72,Calle 100,4,15,Normal,0,0,Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,6,4,20.0,0.567,1,6,1.3
Av. Rojas,Calle 100,5,11,Lluvia,0,1,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100,14,12,50.4,0.2,1,14,0.0
Toberin,Virrey,2,16,Normal,1,0,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey,11,9,50.7,0.645,1,11,0.0
Heroes,Alcala,1,18,Lluvia,1,0,Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,9,7,51.95,0.7,1,9,0.0
Pepe Sierra,Calle 100,0,9,Lluvia fuerte,1,0,Pepe Sierra|Calle 106|Calle 100,3,1,14.24,0.7,1,3,5.69
Ricaurte,Salitre El Greco,5,14,Normal,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Salitre El Greco,8,6,24.64,0.175,1,8,0.0
Calle 63,Cardio Infantil,5,9,Lluvia fuerte,1,1,Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,16,14,88.14,0.375,1,16,0.0
Calle 63,Comuneros,6,6,Lluvia fuerte,1,1,Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros,8,6,45.71,0.35,1,8,0.0
Portal El Dorado,Santa Isabel,5,22,Lluvia,0,1,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,10,8,38.88,0.16,1,10,0.0
Salitre El Greco,Tercer Milenio,4,15,Normal,0,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,5,3,18.9,0.5,1,5,3.05
Salitre El Greco,Tercer Milenio,1,8,Normal,1,0,Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,5,3,24.57,0.7,1,5,2.17
Calle 63,Calle 45,6,8,Lluvia,1,1,Calle 63|Calle 45,2,0,5.49,0.3,1,2,8.83
Profamilia,Salitre El Greco,2,16,Lluvia fuerte,1,0,Profamilia|Calle 26|Salitre El Greco,3,1,19.5,0.7,1,3,5.43
Av. Rojas,Calle 85,4,16,Lluvia fuerte,1,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85,12,10,86.19,0.7,1,12,0.0
Calle 76,Calle 63,6,10,Lluvia,0,1,Calle 76|Calle 72|Flores|Calle 63,4,2,9.5,0.2,1,4,5.92
Portal El Dorado,Calle 45,0,19,Normal,1,0,Portal El Dorado|Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45,7,5,38.22,0.7,1,7,0.0
Av. Jimenez,Virrey,3,17,Lluvia,1,0,Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,12,10,69.58,0.7,1,12,0.0
Salitre El Greco,Portal Norte,2,11,Lluvia,0,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,22,20,99.6,0.491,1,22,0.0
Mazuren,Pepe Sierra,6,6,Normal,1,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra,6,4,19.86,0.333,1,6,2.01
El Tiempo,Calle 45,4,7,Normal,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45,5,3,23.14,0.66,1,5,2.36
Mazuren,Portal El Dorado,5,20,Normal,0,1,Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Salitre El Greco|El Tiempo|Av. Rojas|Portal El Dorado,22,20,68.88,0.182,1,22,0.0
Calle 45,Prado,1,9,Lluvia fuerte,1,0,Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,13,11,89.9,0.7,1,13,0.0
Flores,Calle 76,0,12,Normal,0,0,Flores|Calle 72|Calle 76,3,1,6.6,0.5,1,3,6.67
Toberin,Calle 72,5,16,Normal,1,1,Toberin|Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72,15,13,55.43,0.387,1,15,0.0
Av. Rojas,Pepe Sierra,4,11,Lluvia,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra,16,14,72.36,0.487,1,16,0.0
Ricaurte,Av. Jimenez,0,14,Lluvia,0,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez,5,3,17.76,0.46,1,5,3.23
Cardio Infantil,Calle 100,6,8,Lluvia,1,1,Cardio Infantil|Mazuren|Calle 142|Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,9,7,37.07,0.356,1,9,0.0
El Tiempo,Alcala,4,9,Normal,1,0,El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala,18,16,88.79,0.689,1,18,0.0
Portal Norte,Calle 142,5,18,Lluvia,1,1,Portal Norte|Toberin|Cardio Infantil|Mazuren|Calle 142,5,3,19.22,0.36,1,5,3.46
Calle 127,Calle 106,0,14,Lluvia fuerte,0,0,Calle 127|Pepe Sierra|Calle 106,3,1,12.15,0.5,1,3,6.39
Ricaurte,Marly,0,7,Normal,1,0,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly,8,6,40.04,0.675,1,8,0.0
Ricaurte,Profamilia,6,14,Lluvia,0,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia,6,4,19.97,0.133,1,6,2.6
Santa Isabel,Calle 63,4,20,Normal,0,0,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63,9,7,33.3,0.433,1,9,0.0
Salitre El Greco,Calle 106,3,8,Normal,1,0,Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106,13,11,64.87,0.7,1,13,0.0
Prado,Calle 45,3,12,Lluvia,0,0,Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,13,11,56.04,0.5,1,13,0.0
El Tiempo,Tercer Milenio,0,10,Normal,0,0,El Tiempo|Salitre El Greco|Calle 26|Profamilia|Av. Jimenez|Tercer Milenio,6,4,21.9,0.467,1,6,1.5
Alcala,Calle 45,2,11,Lluvia fuerte,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100|Virrey|Calle 85|Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45,14,12,76.05,0.486,1,14,0.0
Profamilia,Santa Isabel,6,13,Lluvia,0,1,Profamilia|Av. Jimenez|Tercer Milenio|Comuneros|Santa Isabel,5,3,14.98,0.08,1,5,4.51
Av. Rojas,Cardio Infantil,0,11,Lluvia,0,0,Av. Rojas|El Tiempo|Salitre El Greco|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil,22,20,99.24,0.473,1,22,0.0
Av. Rojas,El Tiempo,2,17,Lluvia,1,0,Av. Rojas|El Tiempo,2,0,6.86,0.6,1,2,7.86
Calle 106,Portal Norte,1,7,Normal,1,0,Calle 106|Pepe Sierra|Calle 127|Prado|Alcala|Calle 142|Mazuren|Cardio Infantil|Toberin|Portal Norte,10,8,43.03,0.66,1,10,0.0
Calle 106,Heroes,5,8,Normal,1,1,Calle 106|Calle 100|Virrey|Calle 85|Heroes,5,3,18.1,0.4,1,5,3.4
Alcala,Calle 100,0,11,Normal,0,0,Alcala|Prado|Calle 127|Pepe Sierra|Calle 106|Calle 100,6,4,19.4,0.5,1,6,1.53
Calle 72,Calle 45,5,10,Lluvia,0,1,Calle 72|Flores|Calle 63|Calle 45,4,2,10.56,0.15,1,4,6.02
Heroes,Av. Jimenez,1,13,Lluvia fuerte,0,0,Heroes|Calle 76|Calle 72|Flores|Calle 63|Calle 45|Marly|Calle 26|Profamilia|Av. Jimenez,10,8,54.3,0.52,1,10,0.0
Tercer Milenio,Prado,5,17,Lluvia,1,1,Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey|Calle 100|Calle 106|Pepe Sierra|Calle 127|Prado,18,16,85.36,0.4,1,18,0.0
Santa Isabel,Virrey,5,17,Normal,1,1,Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76|Heroes|Calle 85|Virrey,15,13,56.78,0.36,1,15,0.0
Ricaurte,Calle 76,6,8,Normal,1,1,Ricaurte|Santa Isabel|Comuneros|Tercer Milenio|Av. Jimenez|Profamilia|Calle 26|Marly|Calle 45|Calle 63|Flores|Calle 72|Calle 76,13,11,49.92,0.369,1,13,0.0
